ENLIGHTEN Version,2.2.7
Measurement ID,20210319-101104-560203-WP-00532
Serial Number,WP-00532
Model,WP-532-R-SR-S
Label,10:11:04 WP-00532
Declared Match,
Declared Score,0
Scan Averaging,5
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,1023
ROI Pixel End,1023
Slit Width,50
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,100000
Timestamp,2021-03-19 10:11:04.560203
Note,
Temperature,9.942695953194743
CCD C0,534.4705200195312
CCD C1,0.12332911789417267
CCD C2,-1.4740236110810656e-05
CCD C3,-2.6965287780456038e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
542,596.56,2034.09,65535.00,65535.00,
543,596.66,2037.04,65535.00,65535.00,
544,596.77,2039.99,65535.00,65535.00,
545,596.87,2042.93,65535.00,65535.00,
546,596.98,2045.87,65535.00,65535.00,
547,597.08,2048.81,65535.00,65535.00,
548,597.18,2051.75,65535.00,65535.00,
549,597.29,2054.69,65535.00,65535.00,
550,597.39,2057.62,65535.00,65535.00,
551,597.50,2060.55,65535.00,65535.00,
552,597.60,2063.48,65535.00,65535.00,
553,597.71,2066.41,65535.00,65535.00,
554,597.81,2069.34,65535.00,65535.00,
555,597.92,2072.26,65535.00,65535.00,
556,598.02,2075.18,65535.00,65535.00,
557,598.13,2078.10,65535.00,65535.00,
558,598.23,2081.02,65535.00,65535.00,
559,598.33,2083.93,63538.00,63538.00,
560,598.44,2086.84,65535.00,65535.00,
561,598.54,2089.76,65535.00,65535.00,
562,598.65,2092.66,65535.00,65535.00,
563,598.75,2095.57,65535.00,65535.00,
564,598.86,2098.48,65535.00,65535.00,
565,598.96,2101.38,65535.00,65535.00,
566,599.06,2104.28,65535.00,65535.00,
567,599.17,2107.18,65535.00,65535.00,
568,599.27,2110.07,65535.00,65535.00,
