ENLIGHTEN Version,2.2.7
Measurement ID,20210317-132409-250580-WP-00532
Serial Number,WP-00532
Model,WP-532-R-SR-S
Label,13:24:09 WP-00532
Declared Match,
Declared Score,0
Scan Averaging,15
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,1023
ROI Pixel End,1023
Slit Width,50
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,2
Timestamp,2021-03-17 13:24:09.250580
Note,
Temperature,9.942695953194743
CCD C0,534.4705200195312
CCD C1,0.12332911789417267
CCD C2,-1.4740236110810656e-05
CCD C3,-2.6965287780456038e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
462,588.04,1791.24,2781.73,3719.73,938.00
463,588.14,1794.37,3340.47,4278.40,937.93
464,588.25,1797.49,3143.93,4081.73,937.80
465,588.36,1800.60,2396.47,3336.73,940.27
466,588.47,1803.72,1650.53,2586.07,935.53
467,588.58,1806.83,947.80,1885.13,937.33
468,588.68,1809.94,320.07,1258.00,937.93
469,588.79,1813.05,43.60,980.13,936.53
470,588.90,1816.16,8.87,946.00,937.13
471,589.01,1819.26,7.87,945.53,937.67
472,589.11,1822.36,3.73,942.60,938.87
473,589.22,1825.46,8.67,944.93,936.27
474,589.33,1828.56,7.27,945.40,938.13
475,589.44,1831.65,9.07,945.27,936.20
476,589.54,1834.75,3.87,941.87,938.00
477,589.65,1837.84,8.67,944.60,935.93
478,589.76,1840.93,5.87,943.27,937.40
479,589.87,1844.01,12.67,949.67,937.00
480,589.97,1847.10,15.47,953.00,937.53
481,590.08,1850.18,21.73,959.80,938.07
482,590.19,1853.26,23.67,961.20,937.53
483,590.30,1856.34,26.00,965.00,939.00
484,590.40,1859.41,31.60,967.80,936.20
485,590.51,1862.49,29.73,969.00,939.27
486,590.62,1865.56,26.60,963.20,936.60
487,590.72,1868.63,17.80,956.07,938.27
488,590.83,1871.69,15.40,952.47,937.07
489,590.94,1874.76,16.40,952.80,936.40
490,591.05,1877.82,10.93,947.87,936.93
491,591.15,1880.88,13.60,950.60,937.00
492,591.26,1883.94,9.33,948.73,939.40
493,591.37,1886.99,13.60,949.60,936.00
494,591.47,1890.05,11.27,949.07,937.80
495,591.58,1893.10,11.87,947.13,935.27
496,591.69,1896.15,11.93,948.60,936.67
